Nombre_registro,FechaHora_PC,Fase,Tipo_muestra,Numero_muestra,Timestamp_ESP32_us,Tiempo_sesion_s,Tiempo_prueba_s,Perdidas_desde_anterior,ECG_RAW_ADC,ECG_FILTRADO_ADC,Electrodos_conectados,Calidad_ECG,Pico_R,RR_actual_ms,RR_estable_ms,FC_ECG_BPM,RMSSD_fase_ms,SDNN_fase_ms,RR_validos_fase,RMSSD_basal_ms,SDNN_basal_ms,RR_validos_basal,RMSSD_prueba_ms,SDNN_prueba_ms,RR_validos_prueba,PPG_RED_RAW,PPG_IR_RAW,Dedo_PPG,Estado_PPG,SpO2_pct,FC_PPG_BPM,PPG_valido,GSR_RAW_ADC,GSR_FILTRADO,GSR_BASAL,GSR_DELTA_ADC,GSR_DELTA_PCT,Estado_GSR,GSR_pendiente_basal_20s_pct_min,GSR_pendiente_basal_10s_pct_min,GSR_basal_estable,Temperatura_C
Mama,2026-08-29T10:53:04.833,ADAPTACION,ECG,23224,46579288,0.105987,,0,1714,2038,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.834,ADAPTACION,ECG,23225,46581289,0.107988,,0,1673,2029,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.835,ADAPTACION,ECG,23226,46583291,0.109990,,0,1689,2022,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.835,ADAPTACION,ECG,23227,46585292,0.111991,,0,1753,2016,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.839,ADAPTACION,ECG,23228,46587295,0.113994,,0,1833,2011,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.840,ADAPTACION,ECG,23229,46589296,0.115995,,0,1872,2008,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.841,ADAPTACION,ECG,23230,46591297,0.117996,,0,1872,2005,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.842,ADAPTACION,ECG,23231,46593298,0.119997,,0,1838,2005,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.854,ADAPTACION,GSR,2318,46593994,0.120693,,0,,,,,,,,,,,,,,,,,,,,,,,,,2384,2385.76,,,,ADAPTANDO,,,,
Mama,2026-08-29T10:53:04.855,ADAPTACION,ECG,23232,46595159,0.121858,,0,1766,2007,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.855,ADAPTACION,ECG,23233,46597162,0.123861,,0,1699,2011,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.856,ADAPTACION,ECG,23234,46599162,0.125861,,0,1695,2016,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.856,ADAPTACION,ECG,23235,46601162,0.127861,,0,1733,2019,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.857,ADAPTACION,ECG,23236,46603162,0.129861,,0,1805,2020,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.858,ADAPTACION,PPG,1164,46604233,0.130932,,0,,,,,,,,,,,,,,,,,,190,145,0,SIN DEDO,,,0,,,,,,,,,,
Mama,2026-08-29T10:53:04.858,ADAPTACION,ECG,23237,46605417,0.132116,,0,1857,2019,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.859,ADAPTACION,ECG,23238,46607418,0.134117,,0,1859,2016,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.860,ADAPTACION,ECG,23239,46609419,0.136118,,0,1840,2012,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.869,ADAPTACION,ECG,23240,46611418,0.138117,,0,1780,2010,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.869,ADAPTACION,ECG,23241,46613418,0.140117,,0,1710,2011,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.870,ADAPTACION,GSR,2319,46614110,0.140809,,0,,,,,,,,,,,,,,,,,,,,,,,,,2387,2385.86,,,,ADAPTANDO,,,,
Mama,2026-08-29T10:53:04.870,ADAPTACION,ECG,23242,46615282,0.141981,,0,1671,2013,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.871,ADAPTACION,ECG,23243,46617287,0.143986,,0,1698,2014,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.871,ADAPTACION,ECG,23244,46619289,0.145988,,0,1776,2014,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.872,ADAPTACION,ECG,23245,46621290,0.147989,,0,1846,2013,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.879,ADAPTACION,ECG,23246,46623291,0.149990,,0,1876,2013,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.880,ADAPTACION,ECG,23247,46625295,0.151994,,0,1857,2012,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.881,ADAPTACION,ECG,23248,46627296,0.153995,,0,1795,2012,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.882,ADAPTACION,ECG,23249,46629297,0.155996,,0,1731,2013,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.882,ADAPTACION,ECG,23250,46631298,0.157997,,0,1729,2017,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.883,ADAPTACION,ECG,23251,46633301,0.160000,,0,1790,2024,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.885,ADAPTACION,GSR,2320,46633997,0.160696,,0,,,,,,,,,,,,,,,,,,,,,,,,,2384,2385.71,,,,ADAPTANDO,,,,
Mama,2026-08-29T10:53:04.886,ADAPTACION,ECG,23252,46635162,0.161861,,0,1889,2037,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.889,ADAPTACION,ECG,23253,46637166,0.163865,,0,1994,2054,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.889,ADAPTACION,ECG,23254,46639165,0.165864,,0,2021,2072,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.892,ADAPTACION,ECG,23255,46641164,0.167863,,0,1995,2088,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.892,ADAPTACION,ECG,23256,46643163,0.169862,,0,1902,2098,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.902,ADAPTACION,PPG,1165,46644234,0.170933,,0,,,,,,,,,,,,,,,,,,193,141,0,SIN DEDO,,,0,,,,,,,,,,
Mama,2026-08-29T10:53:04.903,ADAPTACION,ECG,23257,46645418,0.172117,,0,1749,2100,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.903,ADAPTACION,ECG,23258,46647418,0.174117,,0,1668,2091,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.904,ADAPTACION,ECG,23259,46649418,0.176117,,0,1691,2076,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.905,ADAPTACION,ECG,23260,46651418,0.178117,,0,1779,2060,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.905,ADAPTACION,ECG,23261,46653418,0.180117,,0,1920,2051,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.906,ADAPTACION,GSR,2321,46654110,0.180809,,0,,,,,,,,,,,,,,,,,,,,,,,,,2384,2385.58,,,,ADAPTANDO,,,,
Mama,2026-08-29T10:53:04.907,ADAPTACION,ECG,23262,46655282,0.181981,,0,2047,2051,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.907,ADAPTACION,ECG,23263,46657287,0.183986,,0,2130,2064,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.913,ADAPTACION,ECG,23264,46659289,0.185988,,0,2138,2087,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.914,ADAPTACION,ECG,23265,46661289,0.187988,,0,2083,2118,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.915,ADAPTACION,ECG,23266,46663291,0.189990,,0,2019,2151,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.915,ADAPTACION,ECG,23267,46665295,0.191994,,0,2029,2183,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.919,ADAPTACION,ECG,23268,46667296,0.193995,,0,2151,2213,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.920,ADAPTACION,ECG,23269,46669297,0.195996,,0,2311,2244,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.921,ADAPTACION,ECG,23270,46671298,0.197997,,0,2477,2279,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.922,ADAPTACION,ECG,23271,46673301,0.200000,,0,2559,2319,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.925,ADAPTACION,GSR,2322,46673997,0.200696,,0,,,,,,,,,,,,,,,,,,,,,,,,,2384,2385.45,,,,ADAPTANDO,,,,
Mama,2026-08-29T10:53:04.926,ADAPTACION,ECG,23272,46675162,0.201861,,0,2549,2360,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.936,ADAPTACION,ECG,23273,46677165,0.203864,,0,2461,2397,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.936,ADAPTACION,ECG,23274,46679165,0.205864,,0,2330,2425,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.937,ADAPTACION,ECG,23275,46681165,0.207864,,0,2219,2440,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.937,ADAPTACION,ECG,23276,46683165,0.209864,,0,2165,2438,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.938,ADAPTACION,PPG,1166,46684236,0.210935,,0,,,,,,,,,,,,,,,,,,190,139,0,SIN DEDO,,,0,,,,,,,,,,
Mama,2026-08-29T10:53:04.938,ADAPTACION,ECG,23277,46685419,0.212118,,0,2160,2420,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.939,ADAPTACION,ECG,23278,46687418,0.214117,,0,2186,2388,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.941,ADAPTACION,ECG,23279,46689418,0.216117,,0,2173,2347,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.942,ADAPTACION,ECG,23280,46691418,0.218117,,0,2086,2299,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.944,ADAPTACION,ECG,23281,46693418,0.220117,,0,1917,2245,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.944,ADAPTACION,GSR,2323,46694110,0.220809,,0,,,,,,,,,,,,,,,,,,,,,,,,,2384,2385.33,,,,ADAPTANDO,,,,
Mama,2026-08-29T10:53:04.947,ADAPTACION,ECG,23282,46695282,0.221981,,0,1726,2187,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.947,ADAPTACION,ECG,23283,46697287,0.223986,,0,1567,2124,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.951,ADAPTACION,ECG,23284,46699288,0.225987,,0,1523,2060,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.951,ADAPTACION,ECG,23285,46701289,0.227988,,0,1585,2000,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
